개방자치단체코드,관리번호,인허가일자,폐업일자,Open_day,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태분명,좌표정보(Y)
3010000,3010000-101-1999-12334,1999.11.11,,36475,1,영업,070 89872772,98.27,100823,서울특별시 중구 신당동 302-4 ,"서울특별시 중구 퇴계로76길 50, 2층 201호 (신당동)",4611,야래향 양꼬치,"외국음식전문점(인도,태국등)",451217.389
3010000,3010000-101-2004-00387,2004.9.23,,38253,1,영업,,99.17,100800,서울특별시 중구 남대문로5가 63-11 외1필지(지상1층) ,"서울특별시 중구 세종대로 5 (남대문로5가,외1필지(지상1층))",4512,삼미 양꼬치,"외국음식전문점(인도,태국등)",450607.0003
3010000,3010000-101-2009-00223,2009.7.21,2021.7.30,4392,2,폐업,02 22521307,28.87,100420,서울특별시 중구 무학동 38 (지상1층) ,"서울특별시 중구 다산로35길 14 (무학동,(지상1층))",4611,드렁큰 와이프,"외국음식전문점(인도,태국등)",451274.4386
3010000,3010000-101-2015-00297,2015.10.16,2018.11.9,1120,2,폐업,02 5403844,23.91,100802,서울특별시 중구 남대문로5가 537번지 메트로타워 지하1층 7호,"서울특별시 중구 퇴계로 10, 7호 (남대문로5가, 메트로타워 지하1층)",4637,인디아게이트 서울역점,"외국음식전문점(인도,태국등)",450448.5643
3010000,3010000-101-2016-00004,2016.1.6,2016.6.15,161,2,폐업,070 82992323,26.7,100070,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",4533,주식회사 아그라엠,"외국음식전문점(인도,태국등)",451392.1982
3010000,3010000-101-2016-00087,2016.3.7,2016.4.15,39,2,폐업,222832237,8.08,100850,서울특별시 중구 을지로6가 17-2번지 지하2층 ,"서울특별시 중구 장충단로13길 20, 지하2층 (을지로6가)",4563,멜팅몽키,"외국음식전문점(인도,태국등)",451817.5154
3010000,3010000-101-2016-00096,2016.3.8,2016.11.24,261,2,폐업,222832148,143.1,100850,서울특별시 중구 을지로6가 17-2번지 ,"서울특별시 중구 장충단로13길 20, 지하1층 (을지로6가, 현대시티아울렛 )",4563,엘쁠라또 동대문점,"외국음식전문점(인도,태국등)",451817.5154
3010000,3010000-101-2016-00102,2016.3.9,2016.4.5,27,2,폐업,02 7922921,3.3,100070,서울특별시 중구 소공동 1번지 ,"서울특별시 중구 남대문로 81, 지하1층 (소공동)",4533,라이너스즈 바베큐,"외국음식전문점(인도,태국등)",451392.1982
3010000,3010000-101-2016-00293,2016.9.9,,42622,1,영업,,38.34,100300,서울특별시 중구 초동 19-25번지 1층 ,"서울특별시 중구 충무로 39-2 (초동, 1층)",4550,코브,"외국음식전문점(인도,태국등)",451390.724
3010000,3010000-101-2016-00305,2016.9.20,2017.12.14,450,2,폐업,,58.58,100130,서울특별시 중구 순화동 215번지 바비엥3차 101호 ,"서울특별시 중구 통일로 86 (순화동, 바비엥3차 101호)",4517,테르미니(TERMINI),"외국음식전문점(인도,태국등)",451208.5602
